 35821411626 4112 7 62266666613 8 166666 6 966 41  4 6226 561 93  33211211666175122222222212221222222101121211122666666666 522322212412316622212221 7332156412233534321222 1 2 41126666666611.1809147331.18091473326635 0.343694510.3890120755221 12
  652 811626 1232 4 1611662666410 5616 666 516 51  566666666666666622111231 5235522222222211222211221 41 91212222666666666 212313212212146622122114 32221515 4233424321222 5 8 61112122222110.3096187490.309618749233320.1876819070.2135417382111 76
 93211211626 4112 7 16116626662 7 5616 266 326 56  5 6226 261 72  532113131 9334521212122221221222222 61101122221222212222 421311212332216621122322 7255126312235525221222 5 7 31112212222211.0822706281.082270628155270.7691583370.6889102267111 75
 5842 921612 136666 1611662666511 5616 666 526 54  566666666666666611126632 4142222122222221222222222 51 61222221122222222 17222122221111 322211422 0354146316132331321212 4 1 76626666666610.2948254460.294825446233460.4422424260.6936152256111 64
 33911011626 2122 3 16116626662 7 5616 466 116 61  6 1616 566 83  51111221666143222222122221222222222101111111222666666666 321323212222226622122122 6241266512124425121122 8 7 41126666666610.5178039640.517803964144250.1262726130.1462542235112 81
 44211111626 4112 7 16116616661 5 161666 5 666 51  5 7223 361 41  543126632 4233522222222211222222222 51102122222666666666 332323223411146612222212 8222151412223334221222 5 8 31212122222111.3359374381.33593743814414 1.913056322.4370696144111 87
 55921032126 4212 7 1612 726662 7 6614 1661116 56  5 1616 666 41  64412662666135322222222211222222222 22 72222212666666666 41132122211113 621221214 52521414 6233515121221 3 3 76612122222110.9607103310.960710331244380.683250874 0.884172018111 97
 78321111626 4112 4 16116626663 9 6616 466 816 46  4 6116 266115  31112662666243222222221221221222212 92101211112666666666 412312112352216621122412 52331323 8122344321222 388 51126666666610.3902041080.39020410824437 0.409920050.4811509357111 86
 78811411626 4112 7 62266666611 4 82666666 166 20  2 6226 161 93  51111211666155221222121222221222212101111122221222222221 312311221211916622122112 34112615 6124434421212 5 7 11126666666612.0667583322.066758332166142.6042915792.8812336244112 60
  8411432926 5241 17767666666651166666666666666666666666666666666661111211666225522221222222221222222993771122222666666666 41321322442234 221111112 52212625 9234424221222 577 21126666666610.5904755140.59047551416643 0.878220370.6563286933111 97
 4562 911626 536666 1611661666410 5616 666 726 36  36666666666666661112662666225522222222211222222222 61 71111322666666666 313323222333346622122312 7352141312233333321222 5 7 22426666666610.3878946510.387894651233340.4369939310.5813465614112 93
